"_id",collectProperty.wxOpenId,createTime,isValid,onlineTrainingClientId,owner.platformId,owner.platformVersionId,owner.projectId,owner.subProjectId,owner.unitId,result,resultValue.data.type,resultValue.lastRefreshTime,status,statusChangeTime.-1,statusChangeTime.0,statusChangeTime.1,statusChangeTime.2,supervisionBehaviorId,supervisionMeasures.facilitiesType,supervisionMeasures.measuresType,systemId,triggerTimePoint,updateTime,userSupervisionFactId
2c90803890971dab0190b8de7b736e14,oR17p5RXJYEpcmAfeS4VuFo11wtk,2024-07-16T00:08:45.408Z,1,ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,SLIDER,,1,2024-07-16T00:08:45.271Z,2024-07-16T00:08:58.113Z,2024-07-16T00:09:05.830Z,,2c9082e490971fa30190b8de7b612113,0,7,2c91e0819004efb5019004efb5ef0000,7601,2024-07-16T00:09:05.905Z,f7e42df9517d368beed09075fbcb0a95
2c90803890971dab0190b63a37ff5401,oR17p5a4q9l7NJlcaXcttsYnUCS0,2024-07-15T12:07:29.212Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,SLIDER,,1,2024-07-15T12:07:29.060Z,2024-07-15T12:08:15.780Z,2024-07-15T12:08:20.946Z,,2c90803890971dab0190b63a37dc53fe,0,7,2c91e0819004efb5019004efb5ef0000,1013,2024-07-15T12:08:21.072Z,20a5613631d5d82ab035efa0264c82e8
2c9082e490971fa30190b8d797771d72,oR17p5RhtQaVFWu5zF4qkmC1NmLE,2024-07-16T00:13:28.910Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2,WORD_IMAGE_CLICK,,2,2024-07-16T00:13:28.786Z,2024-07-16T00:16:14.452Z,,2024-07-16T00:16:28.786Z,2c90803890971dab0190b8d797656ade,0,10,2c91e0819004efb5019004efb5ef0000,11357,2024-07-16T00:16:29.029Z,19dc54482b565283c99b5564013954c2
2c90803890971dab0190b8de7b896e16,oR17p5RXJYEpcmAfeS4VuFo11wtk,2024-07-16T00:08:26.888Z,1,ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,WORD_IMAGE_CLICK,,1,2024-07-16T00:08:26.691Z,2024-07-16T00:08:33.308Z,2024-07-16T00:08:44.483Z,,2c9082e490971fa30190b8de7b612113,0,10,2c91e0819004efb5019004efb5ef0000,0,2024-07-16T00:08:44.641Z,f7e42df9517d368beed09075fbcb0a95
2c90803890971dab0190b8e7239e74fa,oR17p5bRF3MTiwL7ggys789ty2kM,2024-07-16T00:18:12.904Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,WORD_IMAGE_CLICK,,1,2024-07-16T00:18:12.769Z,2024-07-16T00:18:23.907Z,2024-07-16T00:18:34.043Z,,2c9082e490971fa30190b8e7238b26f8,0,10,2c91e0819004efb5019004efb5ef0000,10847,2024-07-16T00:18:34.114Z,49bea215600fe485672c157e3ccb75ad
2c9082e490971fa30190b8dd8f8420ab,oR17p5SOfgg95DsF-o2lYlUYUwKE,2024-07-16T00:07:26.459Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,SLIDER,,1,2024-07-16T00:07:26.275Z,2024-07-16T00:07:42.762Z,2024-07-16T00:07:48.776Z,,2c90803890971dab0190b8dd8f586d72,0,7,2c91e0819004efb5019004efb5ef0000,0,2024-07-16T00:07:48.923Z,fa82d6343e24562cb36b01fbf692d297
2c90803890971dab0190b8e5d7297359,oR17p5RhtQaVFWu5zF4qkmC1NmLE,2024-07-16T00:16:38.937Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,WORD_IMAGE_CLICK,,1,2024-07-16T00:16:38.818Z,2024-07-16T00:16:42.774Z,2024-07-16T00:17:06.318Z,,2c90803890971dab0190b8d797656ade,0,10,2c91e0819004efb5019004efb5ef0000,11357,2024-07-16T00:17:06.451Z,19dc54482b565283c99b5564013954c2
2c90803890971dab0190b8df14546e8c,,2024-07-16T01:08:45.453Z,1,ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2,,2024-07-16T09:08:45.338+0800,2,2024-07-16T01:08:45.332Z,,,2024-07-16T01:11:45.332Z,2c9082e490971fa30190b8de7b612113,0,3,2c91e0819004efb5019004efb5ef0000,11172,2024-07-16T01:11:46.484Z,f7e42df9517d368beed09075fbcb0a95
2c9082e490971fa30190b93b09216455,,2024-07-16T02:50:38.138Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2,WORD_IMAGE_CLICK,,2,2024-07-16T02:50:37.962Z,,,2024-07-16T02:53:37.962Z,2c90803890971dab0190b8d797656ade,0,10,2c91e0819004efb5019004efb5ef0000,19614,2024-07-16T02:53:39.273Z,19dc54482b565283c99b5564013954c2
2c90803890971dab0190b63a38195402,oR17p5a4q9l7NJlcaXcttsYnUCS0,2024-07-15T11:49:47.326Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,,2024-07-15T19:49:47.161+0800,1,2024-07-15T11:49:47.087Z,2024-07-15T11:49:57.050Z,2024-07-15T11:50:08.476Z,,2c90803890971dab0190b63a37dc53fe,0,3,2c91e0819004efb5019004efb5ef0000,0,2024-07-15T11:50:08.648Z,20a5613631d5d82ab035efa0264c82e8
2c9082e490971fa30190b8dd8f6a20a9,oR17p5SOfgg95DsF-o2lYlUYUwKE,2024-07-16T00:15:11.381Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,SLIDER,,1,2024-07-16T00:15:11.201Z,2024-07-16T00:15:22.848Z,2024-07-16T00:15:29.049Z,,2c90803890971dab0190b8dd8f586d72,0,7,2c91e0819004efb5019004efb5ef0000,460,2024-07-16T00:15:29.220Z,fa82d6343e24562cb36b01fbf692d297
2c90803890971dab0190b981b87865f4,,2024-07-16T04:17:08.419Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2,SLIDER,,2,2024-07-16T04:17:08.258Z,,,2024-07-16T04:20:08.258Z,2c90803890971dab0190b8f3c30a006a,0,7,2c91e0819004efb5019004efb5ef0000,27910,2024-07-16T04:20:08.848Z,188030e75c515abd8660ee4edc516aaf
2c9082e490971fa30190b9468e716ce7,oR17p5WUWYJU8oojvN6KyAU5rhds,2024-07-16T02:47:54.220Z,1,ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,WORD_IMAGE_CLICK,,1,2024-07-16T02:47:54.121Z,2024-07-16T02:48:03.587Z,2024-07-16T02:48:22.035Z,,2c9082e490971fa30190b8fc0a7635e8,0,10,2c91e0819004efb5019004efb5ef0000,7028,2024-07-16T02:48:22.168Z,6a3e2ec0a8254cb5558b11a6c632c7a4
2c9082e490971fa30190b8fc5c7e3664,oR17p5V8RiSoy6LYZ0NUlMfV4xnQ,2024-07-16T00:41:05.011Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,SLIDER,,1,2024-07-16T00:41:04.825Z,2024-07-16T00:41:12.496Z,2024-07-16T00:41:19.018Z,,2c90803890971dab0190b8fc5c580675,0,7,2c91e0819004efb5019004efb5ef0000,0,2024-07-16T00:41:19.144Z,f29e44866dc251aeb3e35e569afeb10c
2c90803890971dab0190b973af705c91,,2024-07-16T03:58:47.647Z,1,ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2,,2024-07-16T11:58:47.558+0800,2,2024-07-16T03:58:47.553Z,,,2024-07-16T04:01:47.553Z,2c90803890971dab0190b915cc9718aa,0,3,2c91e0819004efb5019004efb5ef0000,5771,2024-07-16T04:01:49.078Z,477f357c58e7a61219736e6f820915ba
2c9082e490971fa30190b975bbfa1108,oR17p5RhtQaVFWu5zF4qkmC1NmLE,2024-07-16T03:04:18.269Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,,2024-07-16T11:04:18.130+0800,1,2024-07-16T03:04:18.124Z,2024-07-16T03:04:27.739Z,2024-07-16T03:04:39.574Z,,2c90803890971dab0190b8d797656ade,0,3,2c91e0819004efb5019004efb5ef0000,19614,2024-07-16T03:04:39.699Z,19dc54482b565283c99b5564013954c2
2c9082e490971fa30190b91875c14b98,oR17p5RXJYEpcmAfeS4VuFo11wtk,2024-07-16T01:32:33.616Z,1,ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,WORD_IMAGE_CLICK,,1,2024-07-16T01:32:33.471Z,2024-07-16T01:32:41.882Z,2024-07-16T01:32:51.040Z,,2c9082e490971fa30190b8de7b612113,0,10,2c91e0819004efb5019004efb5ef0000,11172,2024-07-16T01:32:51.155Z,f7e42df9517d368beed09075fbcb0a95
2c90803890971dab0190b929768e2828,,2024-07-16T01:47:46.914Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2,WORD_IMAGE_CLICK,,2,2024-07-16T01:47:46.797Z,,,2024-07-16T01:50:46.797Z,2c9082e490971fa30190b8e7238b26f8,0,10,2c91e0819004efb5019004efb5ef0000,13036,2024-07-16T01:50:47.144Z,49bea215600fe485672c157e3ccb75ad
