studentId,courseId,count,openIds
e7f6f8a22b2a11ecb7eafa164011f743,DA100004224,3,"oR17p5Z8_6HzA_SwAlDl13CwhUyM,oR17p5cVRLaEUJo05wUaReGhJXag,oR17p5TAv_Wm9t8DpDvzLTCE35qE"
9e925936740e11ecb369fa164011f743,DA100004426,3,"oR17p5Yp506sKsBWhvziKDl87WMg,oR17p5cUgiRO5HPkzTbj6IoHngMg,oR17p5cVRLaEUJo05wUaReGhJXag"
304e6a8d10bf11ec8216b07b25146e9e,DA100004482,3,"oR17p5Z8_6HzA_SwAlDl13CwhUyM,oR17p5TAv_Wm9t8DpDvzLTCE35qE,oR17p5cVRLaEUJo05wUaReGhJXag"
61b27b7f703111ecb369fa164011f743,DA100004426,3,"oR17p5TAv_Wm9t8DpDvzLTCE35qE,oR17p5Yp506sKsBWhvziKDl87WMg,oR17p5cVRLaEUJo05wUaReGhJXag"
6b012e2472d711ecb369fa164011f743,DA100004224,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5XKXPt9O0bddMLpDCiHIyT0,oR17p5W7a2IF9My8vNuqeJfwJnnI"
4cda161710c911ec8216b07b25146e9e,DA100004444,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5W7a2IF9My8vNuqeJfwJnnI,oR17p5XKXPt9O0bddMLpDCiHIyT0"
c3c25d2b10c511ec8216b07b25146e9e,ZH20247270,3,"oR17p5W6ibHXQAnwP5AjrLdsl4wA,oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5QdTEvESNVF5MS61zACgaVE"
f4eb38fe10c011ec8216b07b25146e9e,DA100004458,3,"oR17p5cMlN0Zc5M45CiSvqj3BhFw,oR17p5aI-aC6CtiZdIa9jliLRD1k,oR17p5Z03qk7wffUlnZ4sxf1K8ao"
6b012e2472d711ecb369fa164011f743,DA100004064,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5XKXPt9O0bddMLpDCiHIyT0,oR17p5W7a2IF9My8vNuqeJfwJnnI"
835063a810a911ec8871b07b25146e9e,ZH20246959,3,"oR17p5c7UBSNXut4MXgzKlI8XQ8o,oR17p5SZe3XBYr7jbT2fi1L8q1ew,oR17p5Uxu7Pp8rSmTCBk9EMXOTP8"
