"",uniqueClientIdsCount,uniqueTrainingPersonIdsCount
count,14091.000000,14091.000000
mean,1.269108,1.682209
std,0.629505,29.752076
min,0.000000,0.000000
25%,1.000000,1.000000
50%,1.000000,1.000000
75%,1.000000,1.000000
max,7.000000,3330.000000
