_id,ipCount,openIdCount
018f72e710a811ec8871b07b25146e9e,50,3
6f88968110c911ec8216b07b25146e9e,25,4
991036f110a911ec8871b07b25146e9e,25,3
8c94bab110a911ec8871b07b25146e9e,24,1
423d3e1210a911ec8871b07b25146e9e,21,1
94db80fd10a911ec8871b07b25146e9e,21,1
edb433a910a711ec8871b07b25146e9e,21,1
06eb4c5110a811ec8871b07b25146e9e,19,1
a9b0e52310a811ec8871b07b25146e9e,18,1
8ed51b5010a911ec8871b07b25146e9e,17,6
f847e26a10a711ec8871b07b25146e9e,16,2
69d57a2310aa11ec8871b07b25146e9e,16,1
4855189e10aa11ec8871b07b25146e9e,16,2
304e6a8d10bf11ec8216b07b25146e9e,16,3
93ceaf0910c511ec8216b07b25146e9e,15,1
4e146dba10a811ec8871b07b25146e9e,15,1
e7f6f8a22b2a11ecb7eafa164011f743,15,3
51d01a5810ab11ec8871b07b25146e9e,15,2
62f697b410aa11ec8871b07b25146e9e,14,1
46b6a5fd10ab11ec8871b07b25146e9e,14,1
efbc8f3d10aa11ec8871b07b25146e9e,13,1
893bc1dc71f511ecb369fa164011f743,13,1
9e925936740e11ecb369fa164011f743,13,3
3c0afd6810a811ec8871b07b25146e9e,13,1
6ea78e7510a911ec8871b07b25146e9e,13,1
f8b49bf910ab11ec8871b07b25146e9e,13,1
152dd01e10a911ec8871b07b25146e9e,13,1
69287c1010c611ec8216b07b25146e9e,13,3
7ea0372d10a911ec8871b07b25146e9e,12,1
3455dd7710a811ec8871b07b25146e9e,12,1
0545c80910c911ec8216b07b25146e9e,12,1
651cb50610a911ec8871b07b25146e9e,12,1
0758146a10ac11ec8871b07b25146e9e,12,3
e6104b7310ab11ec8871b07b25146e9e,12,1
312bb2aa10a811ec8871b07b25146e9e,12,1
04e7bde210ab11ec8871b07b25146e9e,12,4
376638cd10c111ec8216b07b25146e9e,12,1
5af9f3b510a911ec8871b07b25146e9e,12,2
0274951a10a811ec8871b07b25146e9e,11,1
976af5d310ac11ec8871b07b25146e9e,11,1
bae2c18410a811ec8871b07b25146e9e,11,1
f81d6efc10ab11ec8871b07b25146e9e,11,1
54d4d37210a811ec8871b07b25146e9e,11,1
860eb8c310ab11ec8871b07b25146e9e,11,2
0ade0ebe10a811ec8871b07b25146e9e,11,1
f48b495c10ab11ec8871b07b25146e9e,11,1
d51b209810a911ec8871b07b25146e9e,11,1
